Datum;Starttid;Sluttid;Längd;Kanalnamn;Titel;Titelkod;Genre1;Genre2;Genre3;Rating % A3-99 [OV];Rating % A15-64 [OV];Rating % A15-44 [OV];Rating 000s A3-99 [OV];Rating 000s A15-64 [OV];Rating 000s A15-44 [OV];Share A3-99 [OV];Share A15-64 [OV];Share A15-44 [OV]
2024-08-27;11:03;12:07;65;Kanal5;TUNNELBANAN;;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,099 %;0,045 %;0,011 %;10;3;0;3,204 %;2,421 %;1,441 %
2024-08-27;11:05;11:33;29;SVT1;TYPISKT ROMER;1407860-006A;Fakta;Samhällsprogram;-;0,184 %;0,104 %;0,000 %;19;7;0;5,964 %;6,029 %;0,000 %
2024-08-27;11:08;11:10;3;TV4;TV4VÄDRET;5698671;Nyheter;Övriga nyheter/Väder;Väder;1,906 %;1,054 %;0,445 %;195;68;18;58,403 %;54,366 %;64,352 %
2024-08-27;11:11;11:11;1;TV4;NYHETSMORGON;5249026;Blandmagasin;Morgonmagasin;-;1,937 %;1,074 %;0,438 %;198;70;17;59,380 %;55,055 %;63,975 %
2024-08-27;11:16;11:38;23;TV4;NYHETSMORGON;5698674;Blandmagasin;Morgonmagasin;-;1,687 %;0,859 %;0,279 %;173;56;11;55,472 %;51,558 %;41,247 %
2024-08-27;11:31;12:26;56;TV3;LYXFÄLLAN;10.5240/25CC-C920-0E86-8986-E11B-7;Fakta;Ekonomiprogram;-;0,085 %;0,068 %;0,038 %;9;4;2;2,813 %;3,521 %;4,921 %
2024-08-27;11:35;11:48;14;SVT1;TACK GUD JAG ÄR HOMO;1392611-007A;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,069 %;0,045 %;0,000 %;7;3;0;2,263 %;2,418 %;0,000 %
2024-08-27;11:42;11:59;18;TV4;NYHETSMORGON;5698669;Blandmagasin;Morgonmagasin;-;1,489 %;1,050 %;0,340 %;152;68;14;48,330 %;53,190 %;42,432 %
2024-08-27;11:50;12:03;14;SVT1;TACK GUD JAG ÄR HOMO;1392611-008A;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,103 %;0,093 %;0,000 %;11;6;0;3,323 %;4,629 %;0,000 %
2024-08-27;12:00;12:02;3;SVT2;RAPPORT;1410055-117A;Nyheter;Huvudnyheter;Nyhetssändningar;0,233 %;0,093 %;0,000 %;24;6;0;7,366 %;4,328 %;0,000 %
2024-08-27;12:00;12:09;10;TV4;TV4 NYHETERNA;8796410;Nyheter;Huvudnyheter;Nyhetssändningar;1,384 %;1,024 %;0,335 %;142;66;13;44,660 %;49,545 %;38,984 %
2024-08-27;12:03;15:59;237;SVT2;SVT FORUM;1410171-127A2;Fakta;Samhällsprogram;-;0,100 %;0,021 %;0,014 %;10;1;1;3,538 %;1,279 %;2,836 %
2024-08-27;12:05;13:03;59;SVT1;DRAKNÄSTET;1410974-001A;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,188 %;0,138 %;0,018 %;19;9;1;6,287 %;7,619 %;2,902 %
2024-08-27;12:08;14:07;120;Kanal5;SMARTARE ÄN EN FEMTEKLASS;;Underhållning, Lek;Lek, Tävling;Frågesportprogram;0,161 %;0,057 %;0,018 %;17;4;1;5,804 %;3,373 %;3,106 %
2024-08-27;12:13;12:15;3;TV4;TV4VÄDRET;8796561;Nyheter;Övriga nyheter/Väder;Väder;1,356 %;0,942 %;0,322 %;139;61;13;44,706 %;47,550 %;36,031 %
2024-08-27;12:18;12:22;5;TV4;KÖKETS MIDDAGSTIPS;200123059;Fakta;Konsumentprogram;-;1,272 %;0,889 %;0,305 %;130;58;12;43,229 %;46,447 %;43,408 %
2024-08-27;12:31;12:59;29;TV4;HEM TILL GÅRDEN;200120755;Fiktion/Film;TV-serier;Drama;1,320 %;0,624 %;0,154 %;135;41;6;43,255 %;36,203 %;28,864 %
2024-08-27;12:35;13:32;58;TV3;THE REAL HOUSEWIVES OF BE;10.5240/87F3-6ED9-4C0E-0E0A-C046-U;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,177 %;0,182 %;0,073 %;18;12;3;6,499 %;11,980 %;14,160 %
2024-08-27;13:01;13:59;59;TV4;BYTT ÄR BYTT;200074970;Fakta;Konsumentprogram;-;0,790 %;0,492 %;0,149 %;81;32;6;30,470 %;31,494 %;27,694 %
2024-08-27;13:05;13:09;5;SVT1;DESIGN OCH HANTVERK;1409094-007A;Fakta;Kulturprogram;-;0,212 %;0,164 %;0,178 %;22;11;7;8,399 %;12,068 %;27,172 %
2024-08-27;13:10;13:37;28;SVT1;NÄR JAZZLEGENDERNA KOM TI;1396841-005A;Fakta;Kulturprogram;-;0,038 %;0,017 %;0,011 %;4;1;0;1,546 %;1,221 %;2,277 %
2024-08-27;13:40;14:08;29;SVT1;SVERIGE;1411033-001A;Fakta;Kulturprogram;-;0,137 %;0,143 %;0,046 %;14;9;2;5,035 %;8,061 %;7,874 %
2024-08-27;13:40;14:39;60;TV3;BELOW DECK MEDITERRANEAN;10.5240/25B3-AAFB-CCD2-407D-B37F-L;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,122 %;0,103 %;0,048 %;12;7;2;4,601 %;6,416 %;9,130 %
2024-08-27;14:01;14:59;59;TV4;EN PLATS I SOLEN;200071344;Fakta;Konsumentprogram;-;0,667 %;0,480 %;0,148 %;68;31;6;25,621 %;32,952 %;32,697 %
2024-08-27;14:08;15:09;62;Kanal5;JEOPARDY JULSPECIAL;;Underhållning, Lek;Lek, Tävling;Frågesportprogram;0,187 %;0,089 %;0,000 %;19;6;0;7,103 %;6,254 %;0,000 %
2024-08-27;14:10;15:02;53;SVT1;HOTELL PORTOFINO;1411567-005A;Fiktion/Film;TV-serier;Drama;0,174 %;0,040 %;0,028 %;18;3;1;6,657 %;2,812 %;6,504 %
2024-08-27;14:51;15:43;53;TV3;NCIS;10.5240/05FC-6F46-6A7D-322F-CD5D-9;Fiktion/Film;TV-serier;Kriminal;0,186 %;0,072 %;0,001 %;19;5;0;6,198 %;4,402 %;0,148 %
2024-08-27;15:01;15:57;57;TV4;EN PLATS I SOLEN;200071345;Fakta;Konsumentprogram;-;0,729 %;0,453 %;0,116 %;75;29;5;23,474 %;26,695 %;29,594 %
2024-08-27;15:05;15:48;44;SVT1;DRÖMSLOTTET TRO HOPP OCH;1409175-019A;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,277 %;0,155 %;0,001 %;28;10;0;8,967 %;9,125 %;0,286 %
2024-08-27;15:10;16:14;65;Kanal5;VÄGENS HJÄLTAR;;Fakta;Samhällsprogram;-;0,249 %;0,098 %;0,002 %;25;6;0;7,566 %;5,324 %;0,478 %
2024-08-27;15:50;16:48;59;SVT1;VEM BOR HÄR;1409089-001A;Underhållning, Lek;Underhållning;Lättsam underhållning;0,512 %;0,231 %;0,082 %;52;15;3;13,829 %;10,705 %;16,168 %
2024-08-27;15:51;16:47;57;TV3;UNFORGETTABLE;10.5240/6C44-EAFF-879B-843A-473E-B;Fiktion/Film;TV-serier;Kriminal;0,291 %;0,147 %;0,003 %;30;10;0;7,858 %;6,782 %;0,552 %
2024-08-27;15:58;16:59;62;TV4;GRAND DESIGNS UK;200103081;Fakta;Konsumentprogram;-;0,743 %;0,572 %;0,136 %;76;37;5;19,118 %;25,187 %;25,623 %
2024-08-27;16:00;16:02;3;SVT2;RAPPORT;1410056-240A;Nyheter;Huvudnyheter;Nyhetssändningar;0,567 %;0,142 %;0,030 %;58;9;1;15,399 %;6,767 %;5,874 %
2024-08-27;16:05;16:49;45;SVT2;AGENDA;1411851-001A;Fakta;Samhällsprogram;-;0,155 %;0,053 %;0,030 %;16;3;1;4,097 %;2,382 %;5,738 %
2024-08-27;16:15;17:25;71;Kanal5;GRÄNSBEVAKARNA SVERIGE;;Fakta;Samhällsprogram;-;0,438 %;0,324 %;0,072 %;45;21;3;9,455 %;12,394 %;11,496 %
2024-08-27;16:50;17:25;36;SVT1;SOMMAREN PÅ HOLMEN;1402758-006A;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,585 %;0,259 %;0,046 %;60;17;2;10,811 %;8,736 %;6,435 %
2024-08-27;16:50;17:09;20;SVT2;ENSAM VID FRONTEN;1410856-001A;Fakta;Dramadokumentärer;-;0,102 %;0,068 %;0,013 %;10;4;1;2,056 %;2,487 %;2,147 %
2024-08-27;16:56;17:51;56;TV3;MASTERCHEF USA;10.5240/276C-56A7-C238-1FCC-948F-B;Underhållning, Lek;Lek, Tävling;Lek/tävlingsprogram;0,198 %;0,135 %;0,019 %;20;9;1;3,208 %;4,093 %;2,349 %
2024-08-27;17:00;17:30;31;TV4;EFTER FEM;200135566;Blandmagasin;Diskussionsprogram/Talkshows;-;2,202 %;1,166 %;0,251 %;225;76;10;37,824 %;37,073 %;32,709 %
2024-08-27;17:10;17:13;4;SVT2;ANSLAGSTAVLAN;1410098-006A;Barnblock, Övrigt;Övrigt;Meddelanden;0,080 %;0,061 %;0,000 %;8;4;0;1,402 %;1,932 %;0,000 %
2024-08-27;17:15;17:19;5;SVT2;NYHETER PÅ LÄTT SVENSKA;1409985-147A;Nyheter;Övriga nyheter/Väder;Övriga nyheter;0,079 %;0,035 %;0,000 %;8;2;0;1,311 %;1,060 %;0,000 %
2024-08-27;17:20;17:29;10;SVT2;NYHETSTECKEN;1409987-171A;Nyheter;Övriga nyheter/Väder;Övriga nyheter;0,120 %;0,049 %;0,000 %;12;3;0;1,959 %;1,490 %;0,000 %
2024-08-27;17:26;17:56;31;Kanal5;BIG BANG THEORY;;Fiktion/Film;TV-serier;Komedi;0,268 %;0,244 %;0,053 %;27;16;2;3,853 %;6,673 %;5,602 %
2024-08-27;17:30;17:57;28;SVT1;SVERIGE IDAG;1409990-007A;Nyheter;Övriga nyheter/Väder;Övriga nyheter;1,741 %;0,342 %;0,034 %;178;22;1;24,507 %;9,207 %;3,493 %
2024-08-27;17:30;17:43;14;SVT2;ODDASAT;1409989-125A;Nyheter;Övriga nyheter/Väder;Övriga nyheter;0,150 %;0,101 %;0,000 %;15;7;0;2,242 %;2,897 %;0,000 %
2024-08-27;17:31;17:33;3;TV4;TV4 NYHETERNA;7124330;Nyheter;Huvudnyheter;Nyhetssändningar;2,349 %;1,420 %;0,292 %;240;92;12;36,395 %;41,886 %;34,185 %
2024-08-27;17:34;17:34;1;TV4;LOKALT VÄDER;7130941;Nyheter;Övriga nyheter/Väder;Väder;2,485 %;1,492 %;0,292 %;254;97;12;36,888 %;42,511 %;32,605 %
2024-08-27;17:35;18:03;29;TV4;EFTER FEM;200135566;Blandmagasin;Diskussionsprogram/Talkshows;-;2,486 %;1,616 %;0,252 %;254;105;10;32,303 %;39,772 %;22,854 %
2024-08-27;17:45;17:53;9;SVT2;UUTISET;1409992-125A;Nyheter;Övriga nyheter/Väder;Övriga nyheter;0,100 %;0,039 %;0,005 %;10;3;0;1,359 %;0,986 %;0,504 %
2024-08-27;17:55;17:59;5;SVT2;ÖGONBLICK FRÅN SVALBARD;1404213-002A;Fakta;Natur och vetenskap;-;0,103 %;0,061 %;0,022 %;11;4;1;1,244 %;1,430 %;1,872 %
2024-08-27;17:57;18:19;23;Kanal5;BIG BANG THEORY;;Fiktion/Film;TV-serier;Komedi;0,255 %;0,277 %;0,068 %;26;18;3;2,557 %;5,210 %;4,438 %
2024-08-27;18:00;18:16;17;SVT1;RAPPORT;1410017-171A;Nyheter;Huvudnyheter;Nyhetssändningar;4,936 %;1,657 %;0,631 %;505;108;25;48,172 %;29,885 %;38,231 %
2024-08-27;18:01;18:59;59;SVT2;VETENSKAPENS VÄRLD AI PÅ;1409883-001A;Fakta;Natur och vetenskap;-;0,196 %;0,095 %;0,026 %;20;6;1;1,881 %;1,705 %;1,800 %
2024-08-27;18:01;18:51;51;TV3;LYXFÄLLAN;10.5240/91B6-C4A3-328C-F5E2-BAAD-C;Fakta;Ekonomiprogram;-;0,318 %;0,198 %;0,108 %;33;13;4;3,078 %;3,594 %;7,666 %
2024-08-27;18:04;18:04;1;TV4;LOKALT VÄDER;7131486;Nyheter;Övriga nyheter/Väder;Väder;2,374 %;1,656 %;0,211 %;243;108;8;23,184 %;29,085 %;12,961 %
2024-08-27;18:05;18:29;25;TV4;EFTER FEM;200135566;Blandmagasin;Diskussionsprogram/Talkshows;-;2,367 %;1,516 %;0,220 %;242;98;9;23,181 %;28,159 %;15,337 %
2024-08-27;18:17;18:27;11;SVT1;KULTURNYHETERNA;1409996-167A;Nyheter;Övriga nyheter/Väder;Övriga nyheter;3,679 %;1,214 %;0,225 %;376;79;9;36,634 %;23,333 %;18,061 %
2024-08-27;18:20;19:08;49;Kanal5;VÄGENS HJÄLTAR;;Fakta;Samhällsprogram;-;0,527 %;0,297 %;0,110 %;54;19;4;4,917 %;5,204 %;7,772 %
2024-08-27;18:28;18:32;5;SVT1;SPORTNYTT;1410272-244A;Sport;Sportnyheter;-;3,861 %;1,191 %;0,241 %;395;77;10;38,169 %;22,364 %;19,665 %
2024-08-27;18:30;18:33;4;TV4;TV4 NYHETERNA;7124330;Nyheter;Huvudnyheter;Nyhetssändningar;2,668 %;1,817 %;0,239 %;273;118;10;26,197 %;33,497 %;18,757 %
2024-08-27;18:33;18:42;10;SVT1;LOKALA NYHETER;1410010-167A;Nyheter;Huvudnyheter;Regionala nyhetssändningar;4,440 %;1,485 %;0,374 %;454;96;15;42,240 %;25,984 %;28,608 %
2024-08-27;18:34;18:34;1;TV4;LOKALT VÄDER;7131832;Nyheter;Övriga nyheter/Väder;Väder;2,450 %;1,753 %;0,218 %;251;114;9;23,630 %;31,245 %;17,098 %
2024-08-27;18:35;18:54;20;TV4;EFTER FEM;200135566;Blandmagasin;Diskussionsprogram/Talkshows;-;2,682 %;1,893 %;0,270 %;274;123;11;25,099 %;32,935 %;19,495 %
2024-08-27;18:45;19:28;44;SVT1;GOKVÄLL;1409170-080A;Blandmagasin;Cafeprogram;-;3,685 %;1,021 %;0,157 %;377;66;6;31,544 %;16,520 %;9,758 %
2024-08-27;18:56;19:22;27;TV3;VÄNNER;10.5240/C643-ACE2-5FCA-85B0-01B8-P;Fiktion/Film;TV-serier;Komedi;0,297 %;0,285 %;0,213 %;30;19;9;2,529 %;4,589 %;12,798 %
2024-08-27;19:00;19:16;17;TV4;TV4 NYHETERNA;8805361;Nyheter;Huvudnyheter;Nyhetssändningar;3,958 %;2,356 %;0,594 %;405;153;24;33,607 %;37,449 %;34,416 %
2024-08-27;19:01;19:29;29;SVT2;INBLICK;1409345-003A;Fakta;Samhällsprogram;-;0,195 %;0,117 %;0,047 %;20;8;2;1,603 %;1,829 %;2,806 %
2024-08-27;19:09;19:59;51;Kanal5;JEOPARDY JULSPECIAL;;Underhållning, Lek;Lek, Tävling;Frågesportprogram;0,684 %;0,529 %;0,164 %;70;34;7;4,699 %;6,585 %;7,161 %
2024-08-27;19:21;19:21;1;TV4;LOKALT VÄDER;5681890;Nyheter;Övriga nyheter/Väder;Väder;3,802 %;2,402 %;0,452 %;389;156;18;31,302 %;39,062 %;29,754 %
2024-08-27;19:22;19:24;3;TV4;TV4VÄDRET;8805624;Nyheter;Övriga nyheter/Väder;Väder;3,935 %;2,478 %;0,502 %;403;161;20;31,112 %;37,856 %;29,821 %
2024-08-27;19:30;19:54;25;SVT1;RAPPORT;1410019-206A;Nyheter;Huvudnyheter;Nyhetssändningar;7,418 %;3,503 %;1,125 %;759;228;45;46,508 %;38,734 %;41,217 %
2024-08-27;19:30;19:55;26;TV3;VÄNNER;10.5240/A313-1BC4-33EC-6217-DC18-6;Fiktion/Film;TV-serier;Komedi;0,331 %;0,350 %;0,232 %;34;23;9;2,072 %;3,867 %;8,511 %
2024-08-27;19:30;19:58;29;TV4;HALV ÅTTA HOS MIG;200127195;Fakta;Konsumentprogram;-;3,610 %;2,111 %;0,541 %;369;137;22;22,478 %;23,261 %;19,886 %
2024-08-27;19:31;19:58;28;SVT2;SKATTJÄGARNA;1389106-009A;Fakta;Konsumentprogram;-;0,441 %;0,155 %;0,033 %;45;10;1;2,741 %;1,705 %;1,217 %
2024-08-27;19:55;19:58;4;SVT1;LOKALA NYHETER;1410012-206A;Nyheter;Huvudnyheter;Regionala nyhetssändningar;8,004 %;3,552 %;0,780 %;819;231;31;47,793 %;38,401 %;29,332 %
2024-08-27;19:59;20:59;61;TV3;LYXFÄLLAN;10.5240/CBD6-7556-44B3-90C3-388A-0;Fakta;Ekonomiprogram;-;1,445 %;0,943 %;0,539 %;148;61;21;7,665 %;8,499 %;13,664 %
2024-08-27;20:00;20:59;60;Kanal5;GRÄNSBEVAKARNA SVERIGE;;Fakta;Samhällsprogram;-;1,038 %;0,796 %;0,399 %;106;52;16;5,497 %;7,156 %;10,080 %
2024-08-27;20:01;20:58;58;SVT1;FRÅGA LUND;1410836-001A;Blandmagasin;Diskussionsprogram/Talkshows;-;8,990 %;4,394 %;1,488 %;919;285;59;47,580 %;39,512 %;37,567 %
2024-08-27;20:01;20:59;59;TV4;MORD I PARADISET;200129119;Fiktion/Film;TV-serier;Kriminal;2,967 %;1,595 %;0,277 %;303;104;11;15,686 %;14,319 %;6,976 %
2024-08-27;20:02;20:53;52;SVT2;VÄRLDENS HISTORIA JULIUS;1410227-003A;Fakta;Samhällsprogram;-;0,551 %;0,396 %;0,156 %;56;26;6;2,935 %;3,585 %;4,002 %
2024-08-27;20:55;20:58;4;SVT2;VÄRLDENS HISTORIA PÅ TRE;1405866-018A;Fakta;Samhällsprogram;-;1,002 %;0,687 %;0,251 %;102;45;10;4,925 %;5,663 %;5,229 %
2024-08-27;21:00;21:31;32;Kanal5;BIG BANG THEORY;;Fiktion/Film;TV-serier;Komedi;0,567 %;0,480 %;0,100 %;58;31;4;3,294 %;4,412 %;2,186 %
2024-08-27;21:00;21:37;38;SVT2;AKTUELLT;1410002-106A;Nyheter;Huvudnyheter;Nyhetssändningar;5,859 %;3,372 %;1,718 %;599;219;69;34,329 %;31,073 %;37,366 %
2024-08-27;21:00;21:59;60;TV4;THE ROOKIE;200140731;Fiktion/Film;TV-serier;Kriminal;2,066 %;1,430 %;0,247 %;211;93;10;12,763 %;13,673 %;5,586 %
2024-08-27;21:01;21:58;58;SVT1;FOLKRACE;1407120-001A;Fakta;Kulturprogram;-;2,489 %;1,347 %;0,487 %;255;87;19;15,381 %;12,881 %;11,024 %
2024-08-27;21:02;23:17;136;TV3;WHAT TO EXPECT;10.5240/E8E3-F8CE-013F-2E51-5D25-I;Fiktion/Film;Biograffilm/Långfilm;Komedi;0,277 %;0,357 %;0,252 %;28;23;10;2,330 %;4,408 %;7,547 %
2024-08-27;21:32;22:01;30;Kanal5;BIG BANG THEORY;;Fiktion/Film;TV-serier;Komedi;0,586 %;0,564 %;0,270 %;60;37;11;3,926 %;5,658 %;6,390 %
2024-08-27;21:38;21:46;9;SVT2;KULTURNYHETERNA;1409997-107A;Nyheter;Övriga nyheter/Väder;Övriga nyheter;4,551 %;2,567 %;1,318 %;465;167;53;29,656 %;25,916 %;31,647 %
2024-08-27;21:47;22:00;14;SVT2;SPORTNYTT;1409659-172A;Sport;Sportnyheter;-;3,954 %;2,323 %;1,083 %;404;151;43;27,943 %;23,942 %;26,690 %
2024-08-27;22:00;22:09;10;SVT1;LOKALA NYHETER;1410014-134A;Nyheter;Huvudnyheter;Regionala nyhetssändningar;1,941 %;1,136 %;0,376 %;199;74;15;14,506 %;11,950 %;10,084 %
2024-08-27;22:00;22:36;37;TV4;TV4 NYHETERNA;8806762;Nyheter;Huvudnyheter;Nyhetssändningar;3,719 %;2,780 %;0,727 %;380;181;29;32,698 %;33,946 %;21,891 %
2024-08-27;22:02;23:09;68;Kanal5;NAKED ATTRACTION SVERIGE;;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,610 %;0,286 %;0,229 %;62;19;9;6,727 %;4,346 %;8,596 %
2024-08-27;22:02;22:29;28;SVT2;UTRIKESBYRÅN;1411485-002A;Blandmagasin;Diskussionsprogram/Talkshows;-;1,913 %;1,060 %;0,424 %;196;69;17;16,213 %;12,415 %;12,342 %
2024-08-27;22:11;22:15;5;SVT1;RAPPORT;1410020-240A;Nyheter;Huvudnyheter;Nyhetssändningar;1,307 %;0,708 %;0,155 %;134;46;6;10,711 %;8,054 %;4,274 %
2024-08-27;22:17;23:52;96;SVT1;HYPNOSEN;1404413-001A;Fiktion/Film;Biograffilm/Långfilm;Drama;0,347 %;0,172 %;0,073 %;35;11;3;5,625 %;3,798 %;4,239 %
2024-08-27;22:32;24:15;104;SVT2;DOX PRINSESSAN DIANA;1403566-001A;Fakta;Seriösa porträtt;-;0,791 %;0,439 %;0,056 %;81;29;2;16,599 %;12,524 %;4,396 %
2024-08-27;22:42;22:49;8;TV4;EKONOMINYHETERNA;8807062;Nyheter;Övriga nyheter/Väder;Övriga nyheter;1,992 %;1,333 %;0,384 %;204;87;15;25,845 %;23,870 %;16,520 %
2024-08-27;22:54;22:54;1;TV4;LOKALT VÄDER;5684472;Nyheter;Övriga nyheter/Väder;Väder;1,433 %;0,832 %;0,165 %;147;54;7;22,140 %;17,153 %;9,745 %
2024-08-27;22:56;22:59;4;TV4;TV4VÄDRET;8806998;Nyheter;Övriga nyheter/Väder;Väder;1,397 %;0,757 %;0,241 %;143;49;10;22,578 %;16,711 %;13,939 %
2024-08-27;23:03;23:52;50;TV4;ÖVER ALLA HINDER;200121850;Fiktion/Film;Biograffilm/Långfilm;Drama;0,511 %;0,259 %;0,072 %;52;17;3;12,529 %;8,492 %;7,363 %
2024-08-27;23:10;24:09;60;Kanal5;ALLA MOT ALLA MED FILIP O;;Underhållning, Lek;Lek, Tävling;Lek/tävlingsprogram;0,228 %;0,064 %;0,001 %;23;4;0;6,347 %;2,426 %;0,134 %
2024-08-27;23:20;23:45;26;TV3;VÄNNER;10.5240/C643-ACE2-5FCA-85B0-01B8-P;Fiktion/Film;TV-serier;Komedi;0,220 %;0,269 %;0,265 %;22;17;11;5,849 %;9,705 %;32,231 %
2024-08-27;23:50;24:16;27;TV3;VÄNNER;10.5240/A313-1BC4-33EC-6217-DC18-6;Fiktion/Film;TV-serier;Komedi;0,169 %;0,196 %;0,235 %;17;13;9;6,246 %;9,865 %;38,115 %
2024-08-27;23:53;24:21;29;SVT1;BLODSBAND;1410230-002A;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,144 %;0,113 %;0,000 %;15;7;0;5,783 %;6,110 %;0,000 %
2024-08-27;23:53;24:55;63;TV4;YELLOWSTONE;200089969;Fakta;Natur och vetenskap;-;0,238 %;0,088 %;0,046 %;24;6;2;12,078 %;5,866 %;8,837 %
2024-08-27;24:10;25:26;77;Kanal5;NAKED ATTRACTION UK;;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,124 %;0,075 %;0,039 %;13;5;2;8,804 %;6,712 %;9,098 %
2024-08-27;24:17;24:45;29;SVT2;ÖSTERBOTTENS HJÄLTAR;1409260-006A;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,132 %;0,099 %;0,015 %;14;6;1;8,225 %;7,933 %;3,208 %
2024-08-27;24:20;25:09;50;TV3;WITHOUT A TRACE;10.5240/8B50-CCAD-418C-811C-E579-0;Fiktion/Film;TV-serier;Kriminal;0,086 %;0,097 %;0,141 %;9;6;6;6,044 %;8,630 %;32,769 %
2024-08-27;24:23;25:14;52;SVT1;SEKUNDER;1407130-004A;Nyheter;Huvudnyheter;Nyhetssändningar;0,100 %;0,082 %;0,000 %;10;5;0;7,321 %;7,643 %;0,000 %
2024-08-27;24:47;25:13;27;SVT2;TJEJER GÖR LUMPEN;1410604-006A;Fakta;Samhällsprogram;-;0,035 %;0,007 %;0,007 %;4;0;0;2,906 %;0,766 %;2,007 %
2024-08-27;24:56;25:53;58;TV4;THE ROOKIE;200104397;Fiktion/Film;TV-serier;Kriminal;0,156 %;0,082 %;0,044 %;16;5;2;16,980 %;11,582 %;13,502 %
2024-08-27;25:11;25:59;49;TV3;NCIS;10.5240/180C-4D29-1C34-7217-724A-I;Fiktion/Film;TV-serier;Kriminal;0,060 %;0,088 %;0,096 %;6;6;4;7,244 %;14,305 %;31,480 %
2024-08-27;25:15;25:42;28;SVT2;SKATTJÄGARNA;1389106-009A;Fakta;Konsumentprogram;-;0,031 %;0,028 %;0,014 %;3;2;1;3,629 %;4,112 %;4,272 %
2024-08-27;25:27;25:59;33;Kanal5;NAKED ATTRACTION UK;;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,120 %;0,089 %;0,115 %;12;6;5;15,808 %;17,098 %;42,024 %
2024-08-27;25:45;25:58;14;SVT2;SPORTNYTT;1409659-172AR;Sport;Sportnyheter;-;0,021 %;0,007 %;0,000 %;2;0;0;3,057 %;1,621 %;0,000 %
2024-08-27;25:55;25:59;5;TV4;THE ROOKIE;200104398;Fiktion/Film;TV-serier;Kriminal;0,107 %;0,047 %;0,034 %;11;3;1;15,457 %;10,656 %;14,117 %
